Class and number	v1	v2	T	T*	Lf	
I.Ai.c.1	0.3471168881	0.5327249454	6.3259139829	9.238	4
I.Ai.c.2	0.3068934205	0.1255065670	6.2346748391	19.932	8
I.Ai.c.3	0.6150407229	0.5226158545	37.3205235945	15.048	8
I.Ai.c.4	0.5379557207	0.3414578545	26.9186696160	39.075	16
I.Ai.c.5	0.4112926910	0.2607551013	20.7490650080	49.630	20
I.Ai.c.6	0.4425908552	0.4235138348	35.8334644158	57.728	24
I.Ai.c.7	0.1214534165	0.1012023800	15.7440944954	59.455	24
I.Ai.c.8	0.4094945913	0.3628231655	33.8677507235	68.673	28
I.Ai.c.9	0.5255769251	0.2501253528	43.8698538026	79.277	32
I.Ai.c.10	0.4121028725	0.2833837497	34.2470499687	79.255	32
I.Ai.c.11	0.4364192674	0.4457095477	49.5954033190	76.298	32
I.Ai.c.12	0.1182009612	0.5847367662	48.2723717545	82.749	36
I.Ai.c.13	0.4763527642	0.3789434497	53.4714914343	87.484	36
I.Ai.c.14	0.4027121690	0.2100155085	34.7120153702	89.560	36
I.Ai.c.15	0.3960494651	0.3529413931	46.1340735475	98.289	40
I.Ai.c.16	0.4340543928	0.4606927255	64.1162217970	94.824	40
I.Ai.c.17	0.1842784887	0.5871881740	63.5343529785	101.184	44
I.Ai.c.18	0.4580378828	0.4093753024	66.3519736810	106.147	44
I.Ai.c.19	0.4152505707	0.2913461808	47.9254977196	108.869	44
I.Ai.c.20	0.0969422653	0.5615968396	53.6899444096	101.174	44
I.Ai.c.21	0.4082108156	0.2436851904	48.4868513719	119.241	48
I.Ai.c.22	0.4289870678	0.4723797648	78.3984979261	113.331	48
I.Ai.c.23	0.4138807521	0.3477955684	61.8447789156	127.900	52
I.Ai.c.24	0.4905050535	0.4044215155	85.3859524958	124.747	52
I.Ai.c.25	0.1982770999	0.5760625510	73.2768117405	119.634	52
I.Ai.c.26	0.3991287659	0.1847081193	48.6673769352	129.450	52
I.Ai.c.27	0.4151691260	0.2953409098	61.3228288140	138.477	56
I.Ai.c.28	0.0490506729	0.5901941115	79.1518362736	137.886	60
I.Ai.c.29	0.3447503346	0.3930446386	67.3877746400	146.737	60
I.Ai.c.30	0.2203123981	0.5718227262	85.7935924161	138.093	60
I.Ai.c.31	0.4441311511	0.3823106072	82.3618800834	146.756	60
I.Ai.c.32	0.4041322114	0.2191641945	62.4468134238	159.167	64
I.Ai.c.33	0.4089912496	0.3457125084	75.0210999574	157.507	64
I.Ai.c.34	0.4572423635	0.4074171858	95.8806923191	154.561	64
I.Ai.c.35	0.3972193787	0.1691985386	62.6275833821	169.327	68
I.Ai.c.36	0.4160674674	0.2971499303	74.7892110946	168.084	68
I.Ai.c.37	0.1038901209	0.5907210858	92.2887207815	156.291	68
I.Ai.c.38	0.4135366646	0.2710056059	76.0285224477	178.523	72
I.Ai.c.39	0.3967429300	0.3708809839	85.9343829011	176.391	72
I.Ai.c.40	0.4073762182	0.2388431491	76.2219729678	188.847	76
I.Ai.c.41	0.1334658448	0.5838277552	102.8155095976	174.712	76
I.Ai.c.42	0.4015585101	0.2022664462	76.4010838847	199.069	80
I.Ai.c.43	0.4157753114	0.2981866614	88.0489003051	197.691	80
I.Ai.c.44	0.4188475683	0.2770588072	90.4212103693	208.148	84
I.Ai.c.45	0.3960577146	0.1586009694	76.5926988984	209.198	84
I.Ai.c.46	0.4096220179	0.2516961122	89.9866883856	218.506	88
I.Ai.c.47	0.4046803380	0.2225972157	90.1813477230	228.773	92
I.Ai.c.48	0.2744365569	0.3448729405	37.0281899697	98.299	40
I.Ai.c.49	0.5196830772	0.2059463323	61.0651489089	119.273	48
